                                Constant values
                                constants  Mon Feb 16 14:08:33 UTC 2026
--------------------------------------------------------------------------------
Index   results_gain_po 
--------------------------------------------------------------------------------
0	-3.62608e+01	
1	-3.68075e+01	
2	-3.54446e+01	
3	-3.52289e+01	
4	-3.42550e+01	
5	-3.50190e+01	
6	-3.44594e+01	
7	-3.68502e+01	
8	-3.54842e+01	
9	-3.46437e+01	
10	-3.63842e+01	
11	-3.67079e+01	
12	-3.56265e+01	
13	-3.61107e+01	
14	-3.57875e+01	
15	-3.55152e+01	
16	-3.60995e+01	
17	-3.72485e+01	
18	-3.51153e+01	
19	-3.63848e+01	
20	-3.66034e+01	
21	-3.71086e+01	
22	-3.63214e+01	
23	-3.62114e+01	
24	-3.63366e+01	
25	-3.77586e+01	
26	-3.64370e+01	
27	-3.58640e+01	
28	-3.60712e+01	
29	-3.48910e+01	
30	-3.55839e+01	
31	-3.71888e+01	
32	-3.61716e+01	
33	-3.58140e+01	
34	-3.64566e+01	
35	-3.62298e+01	
36	-3.64472e+01	
37	-3.56577e+01	
38	-3.64179e+01	
39	-3.68832e+01	
40	-3.64204e+01	
41	-3.56606e+01	
42	-3.58825e+01	
43	-3.70428e+01	
44	-3.66531e+01	
45	-3.64614e+01	
46	-3.56184e+01	
47	-3.57746e+01	
48	-3.45463e+01	
49	-3.73940e+01	
50	-3.67939e+01	
51	-3.69177e+01	
52	-3.64750e+01	
53	-3.41602e+01	
54	-3.57172e+01	

Index   results_gain_po 
--------------------------------------------------------------------------------
55	-3.56779e+01	
56	-3.58497e+01	
57	-3.52801e+01	
58	-3.65917e+01	
59	-3.62967e+01	
60	-3.50763e+01	
61	-3.48206e+01	
62	-3.65375e+01	
63	-3.59898e+01	
64	-3.59950e+01	
65	-3.64599e+01	
66	-3.68547e+01	
67	-3.64137e+01	
68	-3.54049e+01	
69	-3.64332e+01	
70	-3.72257e+01	
71	-3.48886e+01	
72	-3.66058e+01	
73	-3.62069e+01	
74	-3.65243e+01	
75	-3.56767e+01	
76	-3.48915e+01	
77	-3.63022e+01	
78	-3.59277e+01	
79	-3.64038e+01	
80	-3.60884e+01	
81	-3.55850e+01	
82	-3.65739e+01	
83	-3.65808e+01	
84	-3.61473e+01	
85	-3.54044e+01	
86	-3.50978e+01	
87	-3.72031e+01	
88	-3.71205e+01	
89	-3.54179e+01	
90	-3.57797e+01	
91	-3.77100e+01	
92	-3.60394e+01	
93	-3.49603e+01	
94	-3.59648e+01	
95	-3.74206e+01	
96	-3.66572e+01	
97	-3.65401e+01	
98	-3.77087e+01	
99	-3.62980e+01	
